                          6.5M Z=0.001 VW93  
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
   fe58    6.986E-08  1.821E-07   2.101E-01   6.987E-08  1.821E-07   2.102E-01
   fe60    3.493E-07  3.493E-07   0.000E+00   3.520E-07  3.520E-07   0.000E+00
   co59    3.451E-08  1.418E-07   1.211E-01   3.451E-08  1.418E-07   1.211E-01
   ni58   -7.665E-08  1.462E-06  -2.222E-02  -7.747E-08  1.461E-06  -2.246E-02
   ni60    1.899E-08  6.275E-07   1.332E-02   1.865E-08  6.272E-07   1.308E-02
   ni61    1.650E-06  1.677E-06   1.797E+00   1.671E-06  1.698E-06   1.802E+00
   ni62   -8.583E-08  6.557E-10  -2.120E+00  -8.583E-08  6.557E-10  -2.120E+00
      g    4.446E-07  4.462E-07   2.453E+00   4.522E-07  4.537E-07   2.460E+00
                          7.0M Z=0.0001 VW93
 Species    Yield     MassExp     ProdFact    E-Yield   E-MassExp   E-ProdFac
      p   -8.000E-01  3.581E+00  -8.760E-02  -8.024E-01  3.579E+00  -8.789E-02
      d    2.126E-17  2.126E-17   0.000E+00   2.125E-17  2.125E-17   0.000E+00
    he3    2.783E-08  2.783E-08   0.000E+00   2.783E-08  2.783E-08   0.000E+00
    he4    7.508E-01  2.196E+00   1.817E-01   7.512E-01  2.196E+00   1.818E-01
    li7   -6.023E-09  9.532E-11  -1.807E+00  -6.023E-09  9.532E-11  -1.807E+00
    c12    1.889E-03  1.995E-03   1.274E+00   3.614E-03  3.720E-03   1.544E+00
    c13    5.670E-04  5.682E-04   2.677E+00   5.662E-04  5.674E-04   2.676E+00
    n14    4.483E-02  4.486E-02   3.139E+00   4.478E-02  4.482E-02   3.138E+00
    n15    6.425E-06  6.546E-06   1.734E+00   6.423E-06  6.544E-06   1.734E+00
    o16    7.991E-04  1.095E-03   5.682E-01   9.486E-04  1.245E-03   6.238E-01
    o17    6.573E-06  6.686E-06   1.772E+00   6.567E-06  6.680E-06   1.772E+00
    o18   -6.230E-07  6.225E-09  -2.005E+00  -6.231E-07  6.225E-09  -2.005E+00
    f19   -6.319E-09  9.944E-09  -2.137E-01  -1.199E-09  1.506E-08  -3.330E-02
   ne20    8.477E-05  1.375E-04   4.163E-01   9.693E-05  1.496E-04   4.531E-01
   ne21   -1.004E-07  3.421E-08  -5.949E-01   8.994E-08  2.245E-07   2.222E-01
   ne22    1.883E-04  1.925E-04   1.658E+00   1.912E-04  1.955E-04   1.664E+00
   na23    3.896E-06  5.056E-06   6.395E-01   4.581E-06  5.740E-06   6.946E-01
   mg24   -1.343E-05  3.560E-06  -6.788E-01  -1.099E-05  6.005E-06  -4.517E-01
   mg25    1.278E-04  1.301E-04   1.764E+00   1.413E-04  1.435E-04   1.806E+00
   mg26    4.885E-04  4.910E-04   2.282E+00   5.508E-04  5.533E-04   2.334E+00
   al26    4.320E-06  4.320E-06   0.000E+00   4.315E-06  4.315E-06   0.000E+00
   al27    7.219E-05  7.407E-05   1.596E+00   7.341E-05  7.529E-05   1.603E+00
   si28    4.709E-05  6.869E-05   5.024E-01   4.844E-05  7.004E-05   5.108E-01
   si29    1.892E-06  3.025E-06   4.265E-01   2.167E-06  3.300E-06   4.642E-01
   si30    3.816E-06  4.594E-06   7.712E-01   4.333E-06  5.111E-06   8.175E-01
    p31    1.514E-06  1.720E-06   9.214E-01   1.693E-06  1.900E-06   9.646E-01
    s32    9.066E-08  1.542E-05   2.535E-03   1.129E-07  1.544E-05   3.160E-03
    s33    4.053E-08  1.653E-07   1.221E-01   4.246E-08  1.672E-07   1.272E-01
    s34   -9.073E-08  6.150E-06  -6.387E-03  -9.141E-08  6.149E-06  -6.435E-03
    s35    6.415E-07  6.415E-07   0.000E+00   6.546E-07  6.546E-07   0.000E+00
   fe54   -6.032E-08  2.275E-06  -1.139E-02  -6.184E-08  2.274E-06  -1.168E-02
   fe55    1.134E-08  1.134E-08   0.000E+00   1.133E-08  1.133E-08   0.000E+00
   fe56   -7.988E-07  3.751E-05  -9.178E-03  -8.239E-07  3.748E-05  -9.469E-03
   fe57    2.363E-09  9.373E-07   1.070E-03   1.747E-09  9.367E-07   7.846E-04
   fe58    3.726E-08  1.583E-07   1.165E-01   3.742E-08  1.585E-07   1.169E-01
   fe60    1.606E-07  1.606E-07   0.000E+00   1.652E-07  1.652E-07   0.000E+00
   co59    1.910E-08  1.348E-07   6.632E-02   1.920E-08  1.349E-07   6.664E-02
   ni58   -3.829E-08  1.622E-06  -1.016E-02  -3.938E-08  1.621E-06  -1.045E-02
   ni60   -1.400E-09  6.551E-07  -9.535E-04  -1.809E-09  6.547E-07  -1.225E-03
   ni61    8.313E-07  8.602E-07   1.474E+00   8.576E-07  8.865E-07   1.487E+00
   ni62   -9.262E-08  6.862E-10  -2.134E+00  -9.262E-08  6.862E-10  -2.134E+00
      g    2.240E-07  2.256E-07   2.124E+00   2.324E-07  2.341E-07   2.140E+00
                          7.5M Z=0.0001 VW93
 Species   Yield      MassExp      ProdFact   E-Yield    E-MassExp   E-ProdFac 
      p   -7.539E-01  3.959E+00  -7.573E-02  -7.559E-01  3.957E+00  -7.595E-02
    he3    1.904E-07  1.904E-07   0.000E+00   1.904E-07  1.904E-07   0.000E+00
    he4    7.217E-01  2.276E+00   1.656E-01   7.224E-01  2.277E+00   1.657E-01
    li7   -4.987E-09  1.594E-09  -6.159E-01  -4.987E-09  1.594E-09  -6.159E-01
    c12    1.952E-03  2.066E-03   1.257E+00   3.097E-03  3.212E-03   1.449E+00
    c13    4.981E-04  4.994E-04   2.589E+00   4.973E-04  4.986E-04   2.588E+00
    n14    2.939E-02  2.942E-02   2.924E+00   2.937E-02  2.940E-02   2.923E+00
    n15    7.490E-06  7.620E-06   1.768E+00   7.489E-06  7.619E-06   1.768E+00
    o16    9.198E-04  1.238E-03   5.899E-01   1.004E-03  1.323E-03   6.186E-01
    o17    7.411E-06  7.532E-06   1.792E+00   7.406E-06  7.527E-06   1.792E+00
    o18   -6.694E-07  7.523E-09  -1.954E+00  -6.694E-07  7.522E-09  -1.954E+00
    f19   -1.197E-08  5.526E-09  -5.005E-01  -9.786E-09  7.708E-09  -3.560E-01
   ne20    4.728E-05  1.040E-04   2.633E-01   5.544E-05  1.122E-04   2.961E-01
   ne21   -7.268E-08  7.210E-08  -3.028E-01   4.809E-08  1.929E-07   1.245E-01
   ne22    7.799E-05  8.255E-05   1.258E+00   7.890E-05  8.346E-05   1.263E+00
   na23    1.173E-06  2.421E-06   2.879E-01   1.651E-06  2.898E-06   3.661E-01
   mg24   -1.577E-05  2.509E-06  -8.624E-01  -1.371E-05  4.565E-06  -6.025E-01
   mg25    6.946E-05  7.188E-05   1.474E+00   7.867E-05  8.108E-05   1.527E+00
   mg26    2.149E-04  2.177E-04   1.897E+00   2.567E-04  2.595E-04   1.973E+00
   al26    1.700E-06  1.700E-06   0.000E+00   1.699E-06  1.699E-06   0.000E+00
   al27    2.588E-05  2.790E-05   1.140E+00   2.677E-05  2.880E-05   1.154E+00
   si28    1.682E-05  4.005E-05   2.364E-01   1.775E-05  4.099E-05   2.465E-01
   si29    7.911E-07  2.010E-06   2.172E-01   9.904E-07  2.209E-06   2.583E-01
   si30    1.606E-06  2.443E-06   4.651E-01   1.982E-06  2.818E-06   5.273E-01
    p31    8.137E-07  1.035E-06   6.693E-01   9.392E-07  1.161E-06   7.190E-01
    s32    1.517E-07  1.664E-05   3.953E-03   1.617E-07  1.665E-05   4.212E-03
    s33    6.599E-08  2.002E-07   1.737E-01   7.178E-08  2.060E-07   1.860E-01
    s34   -2.087E-08  6.692E-06  -1.379E-03  -1.926E-08  6.693E-06  -1.274E-03
    s35    5.050E-06  5.050E-06   0.000E+00   5.063E-06  5.063E-06   0.000E+00
   fe54   -3.665E-08  2.476E-06  -6.409E-03  -3.790E-08  2.474E-06  -6.628E-03
   fe55    1.355E-08  1.355E-08   0.000E+00   1.354E-08  1.354E-08   0.000E+00
   fe56   -3.895E-07  4.082E-05  -4.151E-03  -4.100E-07  4.080E-05  -4.370E-03
   fe57    1.461E-08  1.020E-06   6.237E-03   1.410E-08  1.020E-06   6.020E-03
   fe58    1.882E-08  1.491E-07   5.858E-02   1.887E-08  1.491E-07   5.872E-02
   fe60    8.261E-08  8.261E-08   0.000E+00   8.581E-08  8.581E-08   0.000E+00
   co59    1.056E-08  1.350E-07   3.533E-02   1.059E-08  1.351E-07   3.545E-02
   ni58   -2.100E-08  1.765E-06  -5.164E-03  -2.189E-08  1.764E-06  -5.383E-03
   ni60   -4.108E-09  7.021E-07  -2.560E-03  -4.453E-09  7.018E-07  -2.773E-03
   ni61    4.335E-07  4.646E-07   1.174E+00   4.557E-07  4.868E-07   1.195E+00
   ni62   -9.966E-08  7.156E-10  -2.147E+00  -9.966E-08  7.156E-10  -2.147E+00
      g    1.767E-07  1.785E-07   1.990E+00   1.847E-07  1.865E-07   2.009E+00
