#           k/h    P           
    0.36798E-03    0.13565E+01
    0.37168E-03    0.13697E+01
    0.37542E-03    0.13829E+01
    0.37919E-03    0.13962E+01
    0.38300E-03    0.14097E+01
    0.38685E-03    0.14234E+01
    0.39074E-03    0.14371E+01
    0.39466E-03    0.14510E+01
    0.39863E-03    0.14650E+01
    0.40264E-03    0.14791E+01
    0.40668E-03    0.14934E+01
    0.41077E-03    0.15078E+01
    0.41490E-03    0.15224E+01
    0.41907E-03    0.15371E+01
    0.42328E-03    0.15519E+01
    0.42753E-03    0.15669E+01
    0.43183E-03    0.15820E+01
    0.43617E-03    0.15972E+01
    0.44055E-03    0.16126E+01
    0.44498E-03    0.16282E+01
    0.44945E-03    0.16439E+01
    0.45397E-03    0.16597E+01
    0.45853E-03    0.16757E+01
    0.46314E-03    0.16919E+01
    0.46780E-03    0.17082E+01
    0.47250E-03    0.17246E+01
    0.47725E-03    0.17412E+01
    0.48204E-03    0.17580E+01
    0.48689E-03    0.17749E+01
    0.49178E-03    0.17920E+01
    0.49672E-03    0.18093E+01
    0.50172E-03    0.18267E+01
    0.50676E-03    0.18443E+01
    0.51185E-03    0.18620E+01
    0.51700E-03    0.18799E+01
    0.52219E-03    0.18980E+01
    0.52744E-03    0.19162E+01
    0.53274E-03    0.19347E+01
    0.53809E-03    0.19532E+01
    0.54350E-03    0.19720E+01
    0.54896E-03    0.19910E+01
    0.55448E-03    0.20101E+01
    0.56005E-03    0.20294E+01
    0.56568E-03    0.20489E+01
    0.57137E-03    0.20685E+01
    0.57711E-03    0.20884E+01
    0.58291E-03    0.21084E+01
    0.58877E-03    0.21286E+01
    0.59469E-03    0.21490E+01
    0.60066E-03    0.21697E+01
    0.60670E-03    0.21904E+01
    0.61280E-03    0.22114E+01
    0.61896E-03    0.22326E+01
    0.62518E-03    0.22540E+01
    0.63146E-03    0.22756E+01
    0.63781E-03    0.22974E+01
    0.64422E-03    0.23193E+01
    0.65069E-03    0.23415E+01
    0.65723E-03    0.23639E+01
    0.66384E-03    0.23865E+01
    0.67051E-03    0.24093E+01
    0.67725E-03    0.24324E+01
    0.68405E-03    0.24556E+01
    0.69093E-03    0.24791E+01
    0.69787E-03    0.25027E+01
    0.70488E-03    0.25266E+01
    0.71197E-03    0.25507E+01
    0.71912E-03    0.25750E+01
    0.72635E-03    0.25996E+01
    0.73365E-03    0.26244E+01
    0.74102E-03    0.26494E+01
    0.74847E-03    0.26746E+01
    0.75599E-03    0.27001E+01
    0.76359E-03    0.27258E+01
    0.77127E-03    0.27517E+01
    0.77902E-03    0.27779E+01
    0.78685E-03    0.28043E+01
    0.79476E-03    0.28309E+01
    0.80274E-03    0.28578E+01
    0.81081E-03    0.28849E+01
    0.81896E-03    0.29123E+01
    0.82719E-03    0.29399E+01
    0.83550E-03    0.29678E+01
    0.84390E-03    0.29960E+01
    0.85238E-03    0.30243E+01
    0.86095E-03    0.30530E+01
    0.86960E-03    0.30819E+01
    0.87834E-03    0.31110E+01
    0.88717E-03    0.31405E+01
    0.89608E-03    0.31702E+01
    0.90509E-03    0.32001E+01
    0.91419E-03    0.32303E+01
    0.92337E-03    0.32608E+01
    0.93265E-03    0.32916E+01
    0.94203E-03    0.33226E+01
    0.95149E-03    0.33539E+01
    0.96106E-03    0.33855E+01
    0.97072E-03    0.34174E+01
    0.98047E-03    0.34496E+01
    0.99033E-03    0.34820E+01
    0.10003E-02    0.35147E+01
    0.10103E-02    0.35478E+01
    0.10205E-02    0.35811E+01
    0.10307E-02    0.36147E+01
    0.10411E-02    0.36486E+01
    0.10516E-02    0.36828E+01
    0.10621E-02    0.37173E+01
    0.10728E-02    0.37521E+01
    0.10836E-02    0.37872E+01
    0.10945E-02    0.38226E+01
    0.11055E-02    0.38583E+01
    0.11166E-02    0.38943E+01
    0.11278E-02    0.39306E+01
    0.11391E-02    0.39673E+01
    0.11506E-02    0.40043E+01
    0.11622E-02    0.40416E+01
    0.11738E-02    0.40792E+01
    0.11856E-02    0.41171E+01
    0.11976E-02    0.41554E+01
    0.12096E-02    0.41940E+01
    0.12217E-02    0.42329E+01
    0.12340E-02    0.42721E+01
    0.12464E-02    0.43117E+01
    0.12590E-02    0.43516E+01
    0.12716E-02    0.43919E+01
    0.12844E-02    0.44325E+01
    0.12973E-02    0.44734E+01
    0.13103E-02    0.45147E+01
    0.13235E-02    0.45564E+01
    0.13368E-02    0.45983E+01
    0.13502E-02    0.46407E+01
    0.13638E-02    0.46834E+01
    0.13775E-02    0.47264E+01
    0.13914E-02    0.47698E+01
    0.14053E-02    0.48136E+01
    0.14195E-02    0.48577E+01
    0.14337E-02    0.49022E+01
    0.14481E-02    0.49471E+01
    0.14627E-02    0.49923E+01
    0.14774E-02    0.50379E+01
    0.14922E-02    0.50839E+01
    0.15072E-02    0.51302E+01
    0.15224E-02    0.51770E+01
    0.15377E-02    0.52241E+01
    0.15531E-02    0.52716E+01
    0.15687E-02    0.53195E+01
    0.15845E-02    0.53677E+01
    0.16004E-02    0.54164E+01
    0.16165E-02    0.54654E+01
    0.16328E-02    0.55148E+01
    0.16492E-02    0.55647E+01
    0.16658E-02    0.56149E+01
    0.16825E-02    0.56655E+01
    0.16994E-02    0.57165E+01
    0.17165E-02    0.57680E+01
    0.17337E-02    0.58198E+01
    0.17512E-02    0.58720E+01
    0.17688E-02    0.59247E+01
    0.17865E-02    0.59777E+01
    0.18045E-02    0.60312E+01
    0.18226E-02    0.60851E+01
    0.18409E-02    0.61394E+01
    0.18594E-02    0.61941E+01
    0.18781E-02    0.62492E+01
    0.18970E-02    0.63048E+01
    0.19161E-02    0.63608E+01
    0.19353E-02    0.64172E+01
    0.19548E-02    0.64740E+01
    0.19744E-02    0.65313E+01
    0.19943E-02    0.65890E+01
    0.20143E-02    0.66471E+01
    0.20346E-02    0.67056E+01
    0.20550E-02    0.67646E+01
    0.20757E-02    0.68240E+01
    0.20965E-02    0.68839E+01
    0.21176E-02    0.69442E+01
    0.21389E-02    0.70049E+01
    0.21604E-02    0.70661E+01
    0.21821E-02    0.71277E+01
    0.22040E-02    0.71898E+01
    0.22262E-02    0.72523E+01
    0.22485E-02    0.73153E+01
    0.22711E-02    0.73787E+01
    0.22940E-02    0.74425E+01
    0.23170E-02    0.75068E+01
    0.23403E-02    0.75716E+01
    0.23638E-02    0.76368E+01
    0.23876E-02    0.77025E+01
    0.24116E-02    0.77686E+01
    0.24358E-02    0.78351E+01
    0.24603E-02    0.79022E+01
    0.24850E-02    0.79696E+01
    0.25100E-02    0.80376E+01
    0.25352E-02    0.81059E+01
    0.25607E-02    0.81748E+01
    0.25864E-02    0.82441E+01
    0.26124E-02    0.83138E+01
    0.26387E-02    0.83841E+01
    0.26652E-02    0.84547E+01
    0.26920E-02    0.85259E+01
    0.27190E-02    0.85975E+01
    0.27464E-02    0.86695E+01
    0.27740E-02    0.87420E+01
    0.28018E-02    0.88150E+01
    0.28300E-02    0.88884E+01
    0.28584E-02    0.89623E+01
    0.28872E-02    0.90367E+01
    0.29162E-02    0.91115E+01
    0.29455E-02    0.91867E+01
    0.29751E-02    0.92624E+01
    0.30050E-02    0.93386E+01
    0.30352E-02    0.94152E+01
    0.30657E-02    0.94923E+01
    0.30965E-02    0.95698E+01
    0.31276E-02    0.96478E+01
    0.31591E-02    0.97263E+01
    0.31908E-02    0.98051E+01
    0.32229E-02    0.98845E+01
    0.32553E-02    0.99643E+01
    0.32880E-02    0.10044E+02
    0.33210E-02    0.10125E+02
    0.33544E-02    0.10206E+02
    0.33881E-02    0.10288E+02
    0.34222E-02    0.10370E+02
    0.34566E-02    0.10452E+02
    0.34913E-02    0.10535E+02
    0.35264E-02    0.10618E+02
    0.35618E-02    0.10702E+02
    0.35976E-02    0.10786E+02
    0.36338E-02    0.10871E+02
    0.36703E-02    0.10956E+02
    0.37072E-02    0.11041E+02
    0.37445E-02    0.11127E+02
    0.37821E-02    0.11213E+02
    0.38201E-02    0.11300E+02
    0.38585E-02    0.11387E+02
    0.38973E-02    0.11475E+02
    0.39364E-02    0.11562E+02
    0.39760E-02    0.11651E+02
    0.40160E-02    0.11739E+02
    0.40563E-02    0.11828E+02
    0.40971E-02    0.11918E+02
    0.41383E-02    0.12008E+02
    0.41799E-02    0.12098E+02
    0.42219E-02    0.12188E+02
    0.42643E-02    0.12279E+02
    0.43072E-02    0.12371E+02
    0.43504E-02    0.12462E+02
    0.43942E-02    0.12554E+02
    0.44383E-02    0.12647E+02
    0.44829E-02    0.12739E+02
    0.45280E-02    0.12832E+02
    0.45735E-02    0.12926E+02
    0.46195E-02    0.13019E+02
    0.46659E-02    0.13113E+02
    0.47128E-02    0.13208E+02
    0.47601E-02    0.13302E+02
    0.48080E-02    0.13397E+02
    0.48563E-02    0.13492E+02
    0.49051E-02    0.13588E+02
    0.49544E-02    0.13683E+02
    0.50042E-02    0.13779E+02
    0.50545E-02    0.13876E+02
    0.51053E-02    0.13972E+02
    0.51566E-02    0.14069E+02
    0.52084E-02    0.14166E+02
    0.52608E-02    0.14263E+02
    0.53137E-02    0.14360E+02
    0.53671E-02    0.14458E+02
    0.54210E-02    0.14556E+02
    0.54755E-02    0.14654E+02
    0.55305E-02    0.14752E+02
    0.55861E-02    0.14851E+02
    0.56422E-02    0.14949E+02
    0.56989E-02    0.15048E+02
    0.57562E-02    0.15147E+02
    0.58141E-02    0.15246E+02
    0.58725E-02    0.15345E+02
    0.59315E-02    0.15444E+02
    0.59911E-02    0.15543E+02
    0.60513E-02    0.15642E+02
    0.61122E-02    0.15742E+02
    0.61736E-02    0.15841E+02
    0.62356E-02    0.15941E+02
    0.62983E-02    0.16041E+02
    0.63616E-02    0.16140E+02
    0.64255E-02    0.16240E+02
    0.64901E-02    0.16339E+02
    0.65553E-02    0.16439E+02
    0.66212E-02    0.16539E+02
    0.66878E-02    0.16638E+02
    0.67550E-02    0.16738E+02
    0.68229E-02    0.16837E+02
    0.68914E-02    0.16936E+02
    0.69607E-02    0.17035E+02
    0.70306E-02    0.17135E+02
    0.71013E-02    0.17234E+02
    0.71727E-02    0.17332E+02
    0.72448E-02    0.17431E+02
    0.73176E-02    0.17529E+02
    0.73911E-02    0.17628E+02
    0.74654E-02    0.17726E+02
    0.75404E-02    0.17823E+02
    0.76162E-02    0.17921E+02
    0.76928E-02    0.18018E+02
    0.77701E-02    0.18115E+02
    0.78482E-02    0.18212E+02
    0.79270E-02    0.18308E+02
    0.80067E-02    0.18404E+02
    0.80872E-02    0.18500E+02
    0.81684E-02    0.18595E+02
    0.82505E-02    0.18690E+02
    0.83335E-02    0.18785E+02
    0.84172E-02    0.18879E+02
    0.85018E-02    0.18972E+02
    0.85873E-02    0.19065E+02
    0.86736E-02    0.19158E+02
    0.87607E-02    0.19250E+02
    0.88488E-02    0.19341E+02
    0.89377E-02    0.19432E+02
    0.90275E-02    0.19523E+02
    0.91183E-02    0.19612E+02
    0.92099E-02    0.19701E+02
    0.93025E-02    0.19790E+02
    0.93960E-02    0.19878E+02
    0.94904E-02    0.19965E+02
    0.95858E-02    0.20051E+02
    0.96821E-02    0.20136E+02
    0.97794E-02    0.20221E+02
    0.98777E-02    0.20305E+02
    0.99770E-02    0.20388E+02
    0.10077E-01    0.20470E+02
    0.10179E-01    0.20552E+02
    0.10281E-01    0.20632E+02
    0.10384E-01    0.20711E+02
    0.10489E-01    0.20790E+02
    0.10594E-01    0.20867E+02
    0.10700E-01    0.20944E+02
    0.10808E-01    0.21019E+02
    0.10917E-01    0.21094E+02
    0.11026E-01    0.21167E+02
    0.11137E-01    0.21239E+02
    0.11249E-01    0.21310E+02
    0.11362E-01    0.21380E+02
    0.11476E-01    0.21448E+02
    0.11592E-01    0.21516E+02
    0.11708E-01    0.21582E+02
    0.11826E-01    0.21646E+02
    0.11945E-01    0.21710E+02
    0.12065E-01    0.21771E+02
    0.12186E-01    0.21832E+02
    0.12308E-01    0.21891E+02
    0.12432E-01    0.21949E+02
    0.12557E-01    0.22005E+02
    0.12683E-01    0.22060E+02
